feature,weight
razor,2.024580713262143
2ffont,1.8402442173666074
3cfont,1.8402442173666074
color,1.8252758640285087
nbsp,1.7755864637356427
wrote,1.7656048957707655
ximian,1.7230802818593904
linux,1.7071537791432787
click,1.6904238023362224
ilug,1.6491530668468255
redhat,1.6401770617418403
3darial,1.606377999461667
grants,1.5840297039669389
sightings,1.5840297039669389
kevin,1.583810002523785
font,1.580242131642942
exmh,1.5775074677735217
0100,1.5507293137032279
marketing,1.5491622317386469
mortgage,1.5446206521902386
freshrpms,1.5287056505842804
i386,1.5287056505842804
guaranteed,1.526166917410703
income,1.526166917410703
irish,1.5228290996813802
face,1.5209291135924072
folder,1.5169431123496364
kernel,1.5169431123496364
users,1.514989220907014
size,1.5134424111514997
users',1.5123848678655523
maintainer,1.5123848678655523
listmaster,1.5123848678655523
weight,1.5114275844715843
gnome,1.5046021768131772
align,1.5037303205629229
improvement,1.498466539329626
install,1.4916100700207091
2ftd,1.4903588482020917
3ctd,1.4903588482020917
orders,1.4824270165748108
engines,1.48197851212003
perl,1.478089045151472
gaim,1.4778786024117136
boot,1.4778786024117136
seems,1.4778786024117136
opportunity,1.474770159367463
warning,1.4731191067950011
investment,1.4587519684090489
realnetworks,1.458228756410501
chris,1.458228756410501
margin,1.4581129177833152
3cbr,1.4581129177833152
vipul,1.4530433653307855
maxaman,1.4517548088235819
penis,1.4485100243201543
loan,1.4452194661806288
width,1.4416679208033043
credit,1.438237538201485
films,1.4367322543151748
spammers,1.4367322543151748
decoration,1.4350570901769049
height,1.4350570901769049
removed,1.433125461717281
receive,1.4312057067674357
mailman,1.4311175685978155
invoked,1.4251516564363693
toner,1.4244210248084384
0000ff,1.4207610457510103
suse,1.4191220932638626
suberic,1.4191220932638626
lose,1.4185210529676093
growth,1.4170400032049963
cartridge,1.4170400032049963
prices,1.4170400032049963
money,1.4153847166049647
3cli,1.4094047166585315
insurance,1.407917844794099
your,1.407793582611198
string,1.406529091849736
matthias,1.406529091849736
0500,1.3999397487500687
writes,1.3999397487500687
